incident_id,machine_id,machine_type,location,incident_datetime,incident_type,failure_code,failure_description,sensor_id,sensor_type,sensor_value,maintenance_type,maintenance_action,downtime_minutes,reported_by,resolved_datetime,resolution_status,cost_estimate,root_cause
INC-0001,CNC-001,CNC Machining Center,Line A,2026-01-11 03:33:30,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,CNC-001-SEN-SPIN,Spindle Speed Sensor,2727.01,preventive,Replaced hydraulic return filter and suction strainer; topped up fluid,208,MNT-001 (Sato T.),2026-01-11 07:12:30,closed,541.03,Scheduled PM as per 500-hour maintenance plan
INC-0002,CONV-002,Conveyor Belt System,Line B,2026-01-11 11:17:31,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,CONV-002-SEN-SPEED,Belt Speed Sensor,1.29,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,80,MNT-001 (Sato T.),2026-01-11 13:06:31,closed,1371.16,CMMS-generated work order based on predictive alert threshold breach
INC-0003,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-01-15 17:45:48,sensor_anomaly,SA-001,Sensor value 15% above normal range; possible early-stage overheating,PUMP-001-SEN-FLOW,Flow Rate Sensor,207.1,corrective,Replaced gearbox assembly; refilled gear oil; verified noise level,36,OPR-002 (Suzuki M.),2026-01-15 19:00:48,resolved,608.37,EMI from adjacent inverter drive affecting analog signal quality
INC-0004,ROB-002,Robotic Arm FANUC M-20,Line A,2026-01-17 04:32:04,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",ROB-002-SEN-CUR,Drive Current Sensor,8.12,preventive,Replaced hydraulic return filter and suction strainer; topped up fluid,82,MNT-002 (Kobayashi R.),2026-01-17 06:32:04,closed,299.01,Annual statutory safety inspection requirement
INC-0005,CNC-003,CNC Machining Center,Line B,2026-01-18 03:04:58,sensor_anomaly,SA-006,Current 30% above rated value; potential mechanical resistance increase,CNC-003-SEN-TEMP,Spindle Temperature Sensor,21.81,corrective,Repaired hydraulic pipe joint; purged air from system; tested at full pressure,20,CMMS-AUTO,2026-01-18 03:32:58,closed,826.92,Increased friction from bearing wear causing elevated current draw
INC-0006,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-01-19 01:06:05,sensor_anomaly,SA-003,Pressure 18% below setpoint; potential minor seal weepage detected,ROB-004-SEN-CUR,Drive Current Sensor,20.19,corrective,Replaced ruptured drive belt (Gates Poly Chain); adjusted tension,76,CMMS-AUTO,2026-01-19 03:00:05,closed,1397.54,Sensor calibration drift after thermal cycling (>200 cycles since last cal.)
INC-0007,ROB-002,Robotic Arm FANUC M-20,Line A,2026-01-19 13:51:49,machine_failure,MF-004,Main drive belt snapped under load; machine halted unexpectedly,ROB-002-SEN-CUR,Drive Current Sensor,24.88,corrective,Replaced hydraulic seals on main ram; pressure tested to 250 bar – no leaks,434,OPR-001 (Tanaka K.),2026-01-19 21:50:49,closed,1989.25,Lubrication interval overrun by 40 hours; accelerated bearing wear
INC-0008,COMP-002,Air Compressor Atlas Copco,Utility Room,2026-01-22 05:19:29,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",COMP-002-SEN-TEMP,Discharge Air Temp Sensor,56.46,preventive,Calibrated all installed sensors against reference standards,182,MNT-002 (Kobayashi R.),2026-01-22 08:35:29,closed,75.96,CMMS-generated work order based on predictive alert threshold breach
INC-0009,CONV-001,Conveyor Belt System,Line A,2026-01-22 17:49:09,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",CONV-001-SEN-VIB,Vibration Sensor,3.85,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,228,MNT-001 (Sato T.),2026-01-22 21:50:09,closed,974.21,Annual statutory safety inspection requirement
INC-0010,CNC-005,CNC Machining Center V2,Line B,2026-01-22 21:59:07,maintenance_event,ME-002,Hydraulic oil sample analysis and change; all lubrication points serviced,CNC-005-SEN-COOL,Coolant Flow Sensor,21.08,preventive,Calibrated all installed sensors against reference standards,81,MNT-001 (Sato T.),2026-01-23 00:09:07,closed,82.11,CMMS-generated work order based on predictive alert threshold breach
INC-0011,CONV-003,Roller Conveyor,Packaging Area,2026-01-23 00:47:35,maintenance_event,ME-001,"Routine PM per 500 h interval: inspection, lubrication, filter replacement",CONV-003-SEN-TEMP,Motor Temperature Sensor,44.44,preventive,Updated PLC firmware to v3.2.1; verified all I/O signal functionality,204,CMMS-AUTO,2026-01-23 04:46:35,closed,153.26,CMMS-generated work order based on predictive alert threshold breach
INC-0012,PUMP-002,Hydraulic Pump Parker H1,Utility Room,2026-01-23 03:13:38,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,PUMP-002-SEN-PRES,Hydraulic Pressure Sensor,132.17,preventive,Replaced hydraulic return filter and suction strainer; topped up fluid,142,MNT-002 (Kobayashi R.),2026-01-23 06:00:38,closed,646.31,CMMS-generated work order based on predictive alert threshold breach
INC-0013,ROB-001,Robotic Arm FANUC M-20,Line A,2026-01-23 09:23:18,machine_failure,MF-006,"I/O module error; machine entered fault state, cannot accept commands",ROB-001-SEN-CUR,Drive Current Sensor,-1.4,corrective,Repaired hydraulic pipe joint; purged air from system; tested at full pressure,467,SCADA-SYSTEM,2026-01-23 17:15:18,closed,4925.22,Age-related insulation breakdown in motor winding (10-year-old unit)
INC-0014,CONV-001,Conveyor Belt System,Line A,2026-01-23 19:48:43,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",CONV-001-SEN-VIB,Vibration Sensor,3.11,preventive,Tightened all electrical terminal blocks; replaced degraded cable ties,222,CMMS-AUTO,2026-01-24 00:22:43,closed,930.26,CMMS-generated work order based on predictive alert threshold breach
INC-0015,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-01-24 09:29:01,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,ROB-004-SEN-TEMP,Motor Temperature Sensor,63.79,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,227,MNT-002 (Kobayashi R.),2026-01-24 13:29:01,closed,657.1,Scheduled PM as per 500-hour maintenance plan
INC-0016,PRESS-001,Hydraulic Press 100T,Line A,2026-01-25 10:32:23,sensor_anomaly,SA-005,Torque exceeded rated value by 25% for 200 ms; joint play suspected,PRESS-001-SEN-TEMP,Oil Temperature Sensor,100.37,predictive,Replaced position encoder after drift trend identified; recalibrated zero point,28,OPR-001 (Tanaka K.),2026-01-25 11:33:23,closed,1562.35,Partial cable insulation damage caused by coolant splash
INC-0017,ROB-001,Robotic Arm FANUC M-20,Line A,2026-01-25 13:27:43,maintenance_event,ME-002,Hydraulic oil sample analysis and change; all lubrication points serviced,ROB-001-SEN-TORQ,Joint Torque Sensor,49.77,preventive,Performed full lubrication of all bearing points and guide rails,60,MNT-002 (Kobayashi R.),2026-01-25 14:47:43,closed,588.78,Annual statutory safety inspection requirement
INC-0018,CNC-002,CNC Machining Center,Line A,2026-01-27 12:13:50,maintenance_event,ME-002,Hydraulic oil sample analysis and change; all lubrication points serviced,CNC-002-SEN-VIB,Vibration Sensor,3.01,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,55,MNT-001 (Sato T.),2026-01-27 13:40:50,closed,159.25,Annual statutory safety inspection requirement
INC-0019,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-01-27 13:47:39,sensor_anomaly,SA-007,Encoder offset accumulating per cycle; calibration required,PUMP-001-SEN-FLOW,Flow Rate Sensor,204.35,corrective,Replaced failed bearing (SKF 6205-2RS); re-greased and verified alignment,76,SCADA-SYSTEM,2026-01-27 15:38:39,closed,3091.22,Partial cable insulation damage caused by coolant splash
INC-0020,CONV-003,Roller Conveyor,Packaging Area,2026-01-28 07:42:31,sensor_anomaly,SA-001,Sensor value 15% above normal range; possible early-stage overheating,CONV-003-SEN-VIB,Vibration Sensor,-0.06,corrective,Replaced hydraulic seals on main ram; pressure tested to 250 bar – no leaks,33,CMMS-AUTO,2026-01-28 09:09:31,closed,2033.08,Oil mist contamination of sensor housing reducing measurement accuracy
INC-0021,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-01-30 00:18:19,machine_failure,MF-008,"X-axis servo fault; position error exceeded 0.5 mm, emergency stop",ROB-004-SEN-TEMP,Motor Temperature Sensor,110.35,corrective,Replaced failed bearing (SKF 6205-2RS); re-greased and verified alignment,70,OPR-002 (Suzuki M.),2026-01-30 02:23:19,closed,11824.32,Excessive side load on spindle during roughing operation
INC-0022,ROB-003,Robotic Arm KUKA KR 10,Line B,2026-01-31 22:54:33,sensor_anomaly,SA-006,Current 30% above rated value; potential mechanical resistance increase,ROB-003-SEN-CUR,Drive Current Sensor,19.62,corrective,Replaced gearbox assembly; refilled gear oil; verified noise level,37,CMMS-AUTO,2026-02-01 00:23:33,closed,1082.11,Repeated thermal shock to sensor mount loosened connection
INC-0023,PRESS-002,Hydraulic Press 200T,Line B,2026-02-01 01:23:03,maintenance_event,ME-002,Hydraulic oil sample analysis and change; all lubrication points serviced,PRESS-002-SEN-TEMP,Oil Temperature Sensor,64.61,preventive,Calibrated all installed sensors against reference standards,83,MNT-002 (Kobayashi R.),2026-02-01 03:39:03,closed,925.97,Operator-initiated inspection following anomaly observation
INC-0024,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-02-01 23:38:34,sensor_anomaly,SA-001,Sensor value 15% above normal range; possible early-stage overheating,PUMP-001-SEN-TEMP,Oil Temperature Sensor,25.47,corrective,Replaced gearbox assembly; refilled gear oil; verified noise level,83,SCADA-SYSTEM,2026-02-02 01:18:34,closed,1057.11,Repeated thermal shock to sensor mount loosened connection
INC-0025,COMP-001,Air Compressor Atlas Copco,Utility Room,2026-02-03 02:38:31,machine_failure,MF-009,Unusual grinding noise from gearbox; inspection revealed worn gear teeth,COMP-001-SEN-TEMP,Discharge Air Temp Sensor,24.29,corrective,Replaced burnt motor winding; realigned coupling and performed test run,365,OPR-003 (Yamamoto H.),2026-02-03 09:31:31,closed,6903.05,Power grid voltage sag event caused PLC reset and control fault
INC-0026,CONV-001,Conveyor Belt System,Line A,2026-02-04 14:03:48,maintenance_event,ME-001,"Routine PM per 500 h interval: inspection, lubrication, filter replacement",CONV-001-SEN-VIB,Vibration Sensor,1.64,preventive,Calibrated all installed sensors against reference standards,107,CMMS-AUTO,2026-02-04 16:40:48,resolved,1003.28,Operator-initiated inspection following anomaly observation
INC-0027,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-02-05 20:34:49,sensor_anomaly,SA-006,Current 30% above rated value; potential mechanical resistance increase,ROB-004-SEN-CUR,Drive Current Sensor,20.53,predictive,Performed proactive bearing replacement based on vibration trend analysis,6,OPR-002 (Suzuki M.),2026-02-05 20:54:49,closed,2076.68,Increased friction from bearing wear causing elevated current draw
INC-0028,CNC-002,CNC Machining Center,Line A,2026-02-06 00:04:06,sensor_anomaly,SA-008,Speed dropping 10–15% intermittently; belt slippage on drive pulley,CNC-002-SEN-TEMP,Spindle Temperature Sensor,97.74,predictive,Replaced position encoder after drift trend identified; recalibrated zero point,22,CMMS-AUTO,2026-02-06 01:03:06,closed,722.88,Progressive mechanical wear producing detectable vibration signature
INC-0029,CONV-001,Conveyor Belt System,Line A,2026-02-06 02:48:39,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",CONV-001-SEN-TENS,Belt Tension Sensor,351.25,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,124,MNT-002 (Kobayashi R.),2026-02-06 05:46:39,closed,924.32,Scheduled PM as per 500-hour maintenance plan
INC-0030,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-02-06 07:15:15,machine_failure,MF-006,"I/O module error; machine entered fault state, cannot accept commands",PUMP-001-SEN-FLOW,Flow Rate Sensor,8.13,predictive,Pre-emptive seal replacement after continuous pressure-drop trend detected,300,OPR-002 (Suzuki M.),2026-02-06 12:39:15,closed,2683.63,Hydraulic fluid degraded beyond acceptable viscosity index
INC-0031,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-02-07 22:33:18,sensor_anomaly,SA-002,Vibration RMS increasing week-over-week; bearing wear suspected,ROB-004-SEN-TEMP,Motor Temperature Sensor,97.53,corrective,Replaced failed power supply unit; verified stable 24 VDC output,82,SCADA-SYSTEM,2026-02-08 00:52:18,resolved,912.13,Partial cable insulation damage caused by coolant splash
INC-0032,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-02-08 00:54:00,sensor_anomaly,SA-003,Pressure 18% below setpoint; potential minor seal weepage detected,PUMP-001-SEN-TEMP,Oil Temperature Sensor,107.81,predictive,Replaced position encoder after drift trend identified; recalibrated zero point,5,CMMS-AUTO,2026-02-08 01:56:00,closed,3021.58,EMI from adjacent inverter drive affecting analog signal quality
INC-0033,COMP-002,Air Compressor Atlas Copco,Utility Room,2026-02-08 04:56:07,maintenance_event,ME-002,Hydraulic oil sample analysis and change; all lubrication points serviced,COMP-002-SEN-CUR,Motor Current Sensor,19.88,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,57,MNT-002 (Kobayashi R.),2026-02-08 06:02:07,closed,998.51,CMMS-generated work order based on predictive alert threshold breach
INC-0034,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-02-08 09:38:37,sensor_anomaly,SA-007,Encoder offset accumulating per cycle; calibration required,PUMP-001-SEN-TEMP,Oil Temperature Sensor,103.39,predictive,Adjusted drive pulley alignment after belt speed anomaly trend detected,14,OPR-002 (Suzuki M.),2026-02-08 10:09:37,resolved,660.2,Oil mist contamination of sensor housing reducing measurement accuracy
INC-0035,CNC-004,CNC Machining Center V2,Line B,2026-02-09 11:51:27,sensor_anomaly,SA-005,Torque exceeded rated value by 25% for 200 ms; joint play suspected,CNC-004-SEN-COOL,Coolant Flow Sensor,40.08,predictive,Replaced motor insulation based on IR thermography hot-spot finding,31,OPR-002 (Suzuki M.),2026-02-09 13:20:27,closed,1060.13,Progressive mechanical wear producing detectable vibration signature
INC-0036,PRESS-002,Hydraulic Press 200T,Line B,2026-02-11 14:56:33,sensor_anomaly,SA-006,Current 30% above rated value; potential mechanical resistance increase,PRESS-002-SEN-STR,Ram Stroke Position Sensor,689.36,corrective,Replaced gearbox assembly; refilled gear oil; verified noise level,17,OPR-002 (Suzuki M.),2026-02-11 15:30:33,closed,1272.8,Increased friction from bearing wear causing elevated current draw
INC-0037,ROB-003,Robotic Arm KUKA KR 10,Line B,2026-02-12 05:04:45,sensor_anomaly,SA-005,Torque exceeded rated value by 25% for 200 ms; joint play suspected,ROB-003-SEN-TORQ,Joint Torque Sensor,138.31,predictive,Replaced motor insulation based on IR thermography hot-spot finding,56,OPR-002 (Suzuki M.),2026-02-12 06:07:45,closed,323.9,Increased friction from bearing wear causing elevated current draw
INC-0038,PRESS-001,Hydraulic Press 100T,Line A,2026-02-13 13:25:57,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,PRESS-001-SEN-PRES,Cylinder Pressure Sensor,370.52,preventive,Calibrated all installed sensors against reference standards,145,MNT-002 (Kobayashi R.),2026-02-13 16:28:57,closed,570.12,Scheduled PM as per 500-hour maintenance plan
INC-0039,CNC-004,CNC Machining Center V2,Line B,2026-02-13 19:17:01,maintenance_event,ME-001,"Routine PM per 500 h interval: inspection, lubrication, filter replacement",CNC-004-SEN-VIB,Vibration Sensor,2.29,preventive,Calibrated all installed sensors against reference standards,97,MNT-002 (Kobayashi R.),2026-02-13 21:53:01,closed,770.01,Scheduled PM as per 500-hour maintenance plan
INC-0040,CNC-003,CNC Machining Center,Line B,2026-02-13 23:00:45,machine_failure,MF-003,Hydraulic pressure dropped below minimum threshold; seal failure identified,CNC-003-SEN-TEMP,Spindle Temperature Sensor,17.38,corrective,Replaced hydraulic seals on main ram; pressure tested to 250 bar – no leaks,278,OPR-002 (Suzuki M.),2026-02-14 04:09:45,closed,8709.85,Power grid voltage sag event caused PLC reset and control fault
INC-0041,CNC-004,CNC Machining Center V2,Line B,2026-02-14 00:05:17,maintenance_event,ME-001,"Routine PM per 500 h interval: inspection, lubrication, filter replacement",CNC-004-SEN-VIB,Vibration Sensor,2.99,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,191,CMMS-AUTO,2026-02-14 03:28:17,closed,1017.7,Scheduled quarterly maintenance per annual maintenance calendar
INC-0042,CNC-001,CNC Machining Center,Line A,2026-02-15 23:22:24,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,CNC-001-SEN-SPIN,Spindle Speed Sensor,4783.19,preventive,Updated PLC firmware to v3.2.1; verified all I/O signal functionality,185,MNT-002 (Kobayashi R.),2026-02-16 02:36:24,closed,250.09,Operator-initiated inspection following anomaly observation
INC-0043,ROB-003,Robotic Arm KUKA KR 10,Line B,2026-02-17 11:33:00,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,ROB-003-SEN-POS,Position Encoder,259.32,preventive,Calibrated all installed sensors against reference standards,112,MNT-002 (Kobayashi R.),2026-02-17 13:36:00,closed,856.48,Scheduled PM as per 500-hour maintenance plan
INC-0044,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-02-18 22:57:22,sensor_anomaly,SA-005,Torque exceeded rated value by 25% for 200 ms; joint play suspected,PUMP-001-SEN-FLOW,Flow Rate Sensor,203.74,predictive,Pre-emptive seal replacement after continuous pressure-drop trend detected,44,OPR-002 (Suzuki M.),2026-02-19 00:21:22,closed,1021.69,Increased friction from bearing wear causing elevated current draw
INC-0045,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-02-19 15:51:26,sensor_anomaly,SA-007,Encoder offset accumulating per cycle; calibration required,ROB-004-SEN-CUR,Drive Current Sensor,19.86,corrective,Replaced failed power supply unit; verified stable 24 VDC output,54,SCADA-SYSTEM,2026-02-19 17:10:26,closed,624.25,Sensor calibration drift after thermal cycling (>200 cycles since last cal.)
INC-0046,ROB-001,Robotic Arm FANUC M-20,Line A,2026-02-20 05:45:26,sensor_anomaly,SA-005,Torque exceeded rated value by 25% for 200 ms; joint play suspected,ROB-001-SEN-CUR,Drive Current Sensor,22.18,corrective,Cleared spindle jam; replaced broken cutting tool; re-zeroed workpiece,80,CMMS-AUTO,2026-02-20 07:47:26,closed,945.46,Increased friction from bearing wear causing elevated current draw
INC-0047,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-02-20 09:13:28,sensor_anomaly,SA-001,Sensor value 15% above normal range; possible early-stage overheating,PUMP-001-SEN-TEMP,Oil Temperature Sensor,25.7,corrective,Replaced failed bearing (SKF 6205-2RS); re-greased and verified alignment,50,SCADA-SYSTEM,2026-02-20 10:58:28,closed,3061.82,Sensor calibration drift after thermal cycling (>200 cycles since last cal.)
INC-0048,CONV-002,Conveyor Belt System,Line B,2026-02-21 10:29:01,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",CONV-002-SEN-SPEED,Belt Speed Sensor,0.7,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,183,MNT-001 (Sato T.),2026-02-21 14:27:01,closed,774.01,Annual statutory safety inspection requirement
INC-0049,CNC-003,CNC Machining Center,Line B,2026-02-21 17:57:59,machine_failure,MF-005,Spindle locked due to chip accumulation; axis collision error E-5021,CNC-003-SEN-COOL,Coolant Flow Sensor,6.19,corrective,Replaced failed power supply unit; verified stable 24 VDC output,321,SCADA-SYSTEM,2026-02-21 23:28:59,resolved,4597.88,Sustained overload during night shift exceeded rated capacity by 20%
INC-0050,COMP-001,Air Compressor Atlas Copco,Utility Room,2026-02-21 18:21:47,sensor_anomaly,SA-006,Current 30% above rated value; potential mechanical resistance increase,COMP-001-SEN-CUR,Motor Current Sensor,2.52,predictive,Replaced motor insulation based on IR thermography hot-spot finding,46,OPR-001 (Tanaka K.),2026-02-21 19:44:47,closed,2501.74,Repeated thermal shock to sensor mount loosened connection
INC-0051,ROB-002,Robotic Arm FANUC M-20,Line A,2026-02-22 01:20:53,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,ROB-002-SEN-TORQ,Joint Torque Sensor,46.95,preventive,Updated PLC firmware to v3.2.1; verified all I/O signal functionality,85,MNT-001 (Sato T.),2026-02-22 03:19:53,closed,1227.31,Annual statutory safety inspection requirement
INC-0052,CNC-005,CNC Machining Center V2,Line B,2026-02-22 12:53:03,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",CNC-005-SEN-SPIN,Spindle Speed Sensor,4622.58,preventive,Tightened all electrical terminal blocks; replaced degraded cable ties,108,MNT-002 (Kobayashi R.),2026-02-22 15:13:03,closed,553.32,CMMS-generated work order based on predictive alert threshold breach
INC-0053,PRESS-001,Hydraulic Press 100T,Line A,2026-02-24 08:34:55,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,PRESS-001-SEN-TEMP,Oil Temperature Sensor,64.75,preventive,Calibrated all installed sensors against reference standards,116,CMMS-AUTO,2026-02-24 10:39:55,closed,749.26,Operator-initiated inspection following anomaly observation
INC-0054,COMP-001,Air Compressor Atlas Copco,Utility Room,2026-02-24 19:21:57,sensor_anomaly,SA-004,Flow rate dropped below 80% of nominal; filter clogging suspected,COMP-001-SEN-CUR,Motor Current Sensor,57.72,corrective,Replaced hydraulic seals on main ram; pressure tested to 250 bar – no leaks,68,SCADA-SYSTEM,2026-02-24 21:20:57,closed,1283.7,Sensor calibration drift after thermal cycling (>200 cycles since last cal.)
INC-0055,CNC-003,CNC Machining Center,Line B,2026-02-26 00:21:03,machine_failure,MF-003,Hydraulic pressure dropped below minimum threshold; seal failure identified,CNC-003-SEN-SPIN,Spindle Speed Sensor,-266.35,corrective,Replaced failed power supply unit; verified stable 24 VDC output,268,SCADA-SYSTEM,2026-02-26 05:32:03,closed,3217.52,Lubrication interval overrun by 40 hours; accelerated bearing wear
INC-0056,ROB-003,Robotic Arm KUKA KR 10,Line B,2026-02-26 04:45:38,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",ROB-003-SEN-POS,Position Encoder,231.64,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,47,MNT-001 (Sato T.),2026-02-26 06:20:38,closed,754.95,Annual statutory safety inspection requirement
INC-0057,COMP-002,Air Compressor Atlas Copco,Utility Room,2026-02-27 16:12:09,maintenance_event,ME-001,"Routine PM per 500 h interval: inspection, lubrication, filter replacement",COMP-002-SEN-TEMP,Discharge Air Temp Sensor,44.17,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,134,CMMS-AUTO,2026-02-27 19:06:09,closed,489.75,Scheduled PM as per 500-hour maintenance plan
INC-0058,ROB-001,Robotic Arm FANUC M-20,Line A,2026-02-28 03:45:33,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",ROB-001-SEN-POS,Position Encoder,148.56,preventive,Tightened all electrical terminal blocks; replaced degraded cable ties,30,CMMS-AUTO,2026-02-28 04:47:33,closed,332.64,Annual statutory safety inspection requirement
INC-0059,CNC-004,CNC Machining Center V2,Line B,2026-02-28 06:58:14,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,CNC-004-SEN-COOL,Coolant Flow Sensor,14.19,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,191,CMMS-AUTO,2026-02-28 10:57:14,closed,1205.84,Annual statutory safety inspection requirement
INC-0060,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-03-01 09:13:19,machine_failure,MF-010,Cavitation noise and pressure fluctuation; pump efficiency dropped to 40%,ROB-004-SEN-TORQ,Joint Torque Sensor,151.35,predictive,Replaced position encoder after drift trend identified; recalibrated zero point,359,OPR-001 (Tanaka K.),2026-03-01 16:00:19,closed,1863.67,Operator error: incorrect tool offset entered; tool collision with fixture
INC-0061,CONV-002,Conveyor Belt System,Line B,2026-03-02 00:09:05,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,CONV-002-SEN-VIB,Vibration Sensor,5.16,preventive,Calibrated all installed sensors against reference standards,71,CMMS-AUTO,2026-03-02 02:16:05,closed,747.36,CMMS-generated work order based on predictive alert threshold breach
INC-0062,CONV-002,Conveyor Belt System,Line B,2026-03-02 23:57:17,sensor_anomaly,SA-008,Speed dropping 10–15% intermittently; belt slippage on drive pulley,CONV-002-SEN-TEMP,Motor Temperature Sensor,88.83,predictive,Performed proactive bearing replacement based on vibration trend analysis,2,SCADA-SYSTEM,2026-03-03 00:20:17,closed,2308.6,Oil mist contamination of sensor housing reducing measurement accuracy
INC-0063,CONV-002,Conveyor Belt System,Line B,2026-03-04 16:46:55,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",CONV-002-SEN-VIB,Vibration Sensor,3.68,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,62,MNT-002 (Kobayashi R.),2026-03-04 18:37:55,closed,1344.53,Annual statutory safety inspection requirement
INC-0064,CNC-003,CNC Machining Center,Line B,2026-03-04 16:51:11,machine_failure,MF-009,Unusual grinding noise from gearbox; inspection revealed worn gear teeth,CNC-003-SEN-VIB,Vibration Sensor,-0.51,corrective,Replaced burnt motor winding; realigned coupling and performed test run,360,OPR-003 (Yamamoto H.),2026-03-04 23:32:11,closed,8378.73,Power grid voltage sag event caused PLC reset and control fault
INC-0065,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-03-05 19:42:57,machine_failure,MF-004,Main drive belt snapped under load; machine halted unexpectedly,ROB-004-SEN-TORQ,Joint Torque Sensor,139.83,corrective,Replaced gearbox assembly; refilled gear oil; verified noise level,427,OPR-001 (Tanaka K.),2026-03-06 03:21:57,closed,5526.39,Age-related insulation breakdown in motor winding (10-year-old unit)
INC-0066,CONV-003,Roller Conveyor,Packaging Area,2026-03-09 22:42:29,sensor_anomaly,SA-004,Flow rate dropped below 80% of nominal; filter clogging suspected,CONV-003-SEN-TEMP,Motor Temperature Sensor,83.64,predictive,Performed proactive bearing replacement based on vibration trend analysis,32,SCADA-SYSTEM,2026-03-09 23:31:29,closed,374.32,Progressive mechanical wear producing detectable vibration signature
